size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_times,uncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage
25654,10000,2,0,0.064914,0.064791,0.064774,0.064738,0.064762,0.064837,0.019415,0.019363,0.019277,0.019326,0.019313,0.019324,0,0,0,0,0,0,50
25654,10000,2,1,0.117749,0.117744,0.117831,0.117778,0.117725,0.117796,0.018884,0.018898,0.018738,0.018722,0.018774,0.018714,0,0,0,0,0,0,100
25654,10000,2,1,0.064487,0.064552,0.064531,0.064632,0.064506,0.064523,0.018787,0.018732,0.018762,0.018777,0.018746,0.018755,0,0,0,0,0,0,50
28860,10000,0,0,0.131963,0.131985,0.13185,0.132049,0.131935,0.13194,0.021681,0.02167,0.021673,0.021744,0.021703,0.021655,0,0,0,0,0,0,100
28860,10000,0,0,0.072141,0.07215,0.072136,0.072238,0.072172,0.072115,0.021687,0.021664,0.021676,0.021793,0.02194,0.021685,0,0,0,0,0,0,50
28860,10000,0,1,0.133965,0.133834,0.133905,0.133924,0.13384,0.133999,0.021109,0.021187,0.022503,0.021144,0.02119,0.021198,0,0,0,0,0,0,100
28860,10000,0,1,0.072415,0.072394,0.072388,0.072496,0.072425,0.072359,0.021247,0.021175,0.021073,0.021164,0.021074,0.021488,0,0,0,0,0,0,50
28860,10000,1,0,0.133399,0.133135,0.133277,0.133166,0.133201,0.133071,0.019734,0.01992,0.019704,0.019688,0.019745,0.019967,0,0,0,0,0,0,100
28860,10000,1,0,0.071052,0.071009,0.071088,0.07105,0.071061,0.071023,0.019996,0.019702,0.019697,0.019764,0.019811,0.020033,0,0,0,0,0,0,50
28860,10000,1,1,0.131822,0.131694,0.13174,0.13176,0.13169,0.131736,0.015693,0.015551,0.015516,0.015502,0.015657,0.015644,0,0,0,0,0,0,100
28860,10000,1,1,0.073114,0.073115,0.073108,0.073124,0.073158,0.073131,0.015642,0.015573,0.015644,0.015794,0.015541,0.015491,0,0,0,0,0,0,50
28860,10000,2,0,0.132152,0.132093,0.132115,0.132123,0.132163,0.132198,0.021758,0.021734,0.021648,0.021736,0.021774,0.021767,0,0,0,0,0,0,100
28860,10000,2,0,0.072354,0.072353,0.072348,0.072374,0.072331,0.07237,0.021669,0.021728,0.02171,0.021733,0.021679,0.021679,0,0,0,0,0,0,50
28860,10000,2,1,0.132919,0.133025,0.132935,0.132979,0.132929,0.13278,0.021063,0.021157,0.021045,0.021061,0.021032,0.021095,0,0,0,0,0,0,100
28860,10000,2,1,0.07215,0.072206,0.072177,0.072235,0.072175,0.072166,0.021153,0.021795,0.021017,0.021043,0.021299,0.021152,0,0,0,0,0,0,50
32467,10000,0,0,0.14927,0.149138,0.149179,0.149248,0.149082,0.149222,0.024432,0.024322,0.02441,0.024369,0.024346,0.024357,0,0,0,0,0,0,100
32467,10000,0,0,0.081192,0.081159,0.081304,0.081173,0.081167,0.081165,0.024351,0.024327,0.024332,0.024407,0.02458,0.024323,0,0,0,0,0,0,50
32467,10000,0,1,0.148213,0.148191,0.148058,0.14816,0.148203,0.14812,0.023768,0.023762,0.024007,0.023767,0.023719,0.023701,0,0,0,0,0,0,100
32467,10000,0,1,0.08149,0.081423,0.081382,0.081332,0.081317,0.081366,0.023763,0.024076,0.023719,0.023739,0.023815,0.023785,0,0,0,0,0,0,50
32467,10000,1,0,0.149126,0.148883,0.149181,0.149016,0.149163,0.149037,0.022213,0.022381,0.022344,0.022151,0.022561,0.022343,0,0,0,0,0,0,100
32467,10000,1,0,0.08311,0.083147,0.083097,0.083129,0.083133,0.083016,0.022422,0.022358,0.022225,0.022199,0.022122,0.022224,0,0,0,0,0,0,50
32467,10000,1,1,0.147057,0.147113,0.146965,0.147017,0.146911,0.147143,0.017573,0.017631,0.019841,0.017426,0.017474,0.017424,0,0,0,0,0,0,100
32467,10000,1,1,0.080699,0.080662,0.080717,0.080656,0.080681,0.080713,0.017704,0.017537,0.017442,0.017439,0.017554,0.017404,0,0,0,0,0,0,50
32467,10000,2,0,0.149073,0.149172,0.149088,0.149262,0.149171,0.14919,0.024872,0.024392,0.024466,0.024448,0.024395,0.024396,0,0,0,0,0,0,100
32467,10000,2,0,0.079577,0.079528,0.079522,0.079591,0.079637,0.079485,0.024427,0.024374,0.024364,0.024397,0.024369,0.024425,0,0,0,0,0,0,50
32467,10000,2,1,0.14875,0.148637,0.148708,0.148733,0.148603,0.148599,0.023662,0.023625,0.023687,0.023686,0.023702,0.023609,0,0,0,0,0,0,100
32467,10000,2,1,0.081524,0.081594,0.081589,0.081544,0.08155,0.081631,0.02372,0.023671,0.023629,0.023747,0.024153,0.023653,0,0,0,0,0,0,50
36525,10000,0,0,0.166135,0.166154,0.166342,0.166225,0.166213,0.166207,0.027866,0.027478,0.027538,0.027525,0.027517,0.027718,0,0,0,0,0,0,100
36525,10000,0,0,0.090125,0.090085,0.090186,0.09023,0.090134,0.090246,0.027527,0.027486,0.027743,0.027717,0.027532,0.027513,0,0,0,0,0,0,50
36525,10000,0,1,0.167287,0.167213,0.167323,0.167235,0.167274,0.167434,0.0268,0.026794,0.026799,0.026822,0.026742,0.026849,0,0,0,0,0,0,100
36525,10000,0,1,0.089389,0.089508,0.089567,0.089421,0.089393,0.089424,0.027017,0.026921,0.026822,0.026993,0.027008,0.026851,0,0,0,0,0,0,50
36525,10000,1,0,0.167564,0.167462,0.167653,0.167359,0.167546,0.167574,0.025058,0.025293,0.025283,0.025333,0.025081,0.025115,0,0,0,0,0,0,100
36525,10000,1,0,0.089277,0.089277,0.089263,0.089354,0.089273,0.089266,0.025254,0.025069,0.025122,0.025273,0.025118,0.025171,0,0,0,0,0,0,50
36525,10000,1,1,0.16825,0.168269,0.168126,0.168259,0.168201,0.168148,0.019731,0.019718,0.019738,0.019713,0.01972,0.019969,0,0,0,0,0,0,100
36525,10000,1,1,0.09144,0.091474,0.091425,0.091547,0.091382,0.091431,0.019948,0.020639,0.019763,0.019717,0.019742,0.019708,0,0,0,0,0,0,50
36525,10000,2,0,0.16833,0.168453,0.168546,0.168451,0.16838,0.168313,0.028005,0.027572,0.027551,0.027544,0.027834,0.027531,0,0,0,0,0,0,100
36525,10000,2,0,0.091908,0.091899,0.091901,0.091817,0.091907,0.091911,0.027598,0.02767,0.027567,0.027509,0.027522,0.02755,0,0,0,0,0,0,50
36525,10000,2,1,0.167704,0.167661,0.16779,0.167831,0.167876,0.167803,0.026775,0.026751,0.026794,0.026714,0.026717,0.026701,0,0,0,0,0,0,100
36525,10000,2,1,0.088167,0.088221,0.088322,0.088195,0.08822,0.088197,0.026786,0.026707,0.026772,0.026793,0.026671,0.026727,0,0,0,0,0,0,50
41090,10000,0,0,0.189159,0.189523,0.18946,0.188927,0.189316,0.189205,0.030947,0.030933,0.030949,0.031168,0.03107,0.030921,0,0,0,0,0,0,100
41090,10000,0,0,0.101309,0.101322,0.101235,0.101247,0.10128,0.101235,0.03095,0.030921,0.03095,0.030978,0.030982,0.032309,0,0,0,0,0,0,50
41090,10000,0,1,0.18941,0.18931,0.189331,0.189274,0.18939,0.189734,0.03009,0.03013,0.030074,0.030199,0.030116,0.030491,0,0,0,0,0,0,100
41090,10000,0,1,0.099692,0.099699,0.099541,0.099699,0.099652,0.099633,0.030095,0.030149,0.030118,0.030113,0.030151,0.030454,0,0,0,0,0,0,50
41090,10000,1,0,0.189003,0.189042,0.189076,0.18924,0.188965,0.189331,0.028415,0.028894,0.028134,0.028204,0.028245,0.028326,0,0,0,0,0,0,100
41090,10000,1,0,0.099858,0.099969,0.099953,0.100038,0.100009,0.099853,0.028474,0.028359,0.028425,0.028462,0.028136,0.028132,0,0,0,0,0,0,50
41090,10000,1,1,0.18809,0.188058,0.188234,0.188096,0.18802,0.188127,0.022169,0.022381,0.022334,0.022733,0.022188,0.022396,0,0,0,0,0,0,100
41090,10000,1,1,0.10062,0.100631,0.100593,0.100618,0.10064,0.100594,0.02218,0.022172,0.022186,0.022418,0.022397,0.022477,0,0,0,0,0,0,50
41090,10000,2,0,0.190074,0.190193,0.190282,0.190052,0.19017,0.190147,0.031107,0.031668,0.031011,0.031132,0.030979,0.030892,0,0,0,0,0,0,100
41090,10000,2,0,0.099427,0.099319,0.099332,0.099279,0.099352,0.099395,0.030982,0.033277,0.031022,0.030967,0.030968,0.031053,0,0,0,0,0,0,50
41090,10000,2,1,0.19047,0.190331,0.190385,0.190391,0.190593,0.190524,0.030186,0.030478,0.030051,0.030343,0.030078,0.030104,0,0,0,0,0,0,100
41090,10000,2,1,0.102174,0.102089,0.102055,0.102054,0.102017,0.102103,0.030068,0.030004,0.030113,0.030016,0.030049,0.029978,0,0,0,0,0,0,50
