size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_timesuncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage
41090,10000,0,1,0.146584,0.149023,0.148609,0.149259,0.149632,0.151686,0.030204,0.031287,0.030377,0.030233,0.030169,0.030156,0,0,0,0,0,0,100
41090,10000,0,1,0.080844,0.08096,0.080586,0.080618,0.079737,0.080549,0.030229,0.030163,0.030148,0.030225,0.030161,0.030166,0,0,0,0,0,0,50
41090,10000,1,0,0.149516,0.147189,0.14681,0.148104,0.149928,0.147725,0.028217,0.028229,0.028425,0.02831,0.028276,0.02829,0,0,0,0,0,0,100
41090,10000,1,0,0.079828,0.079851,0.079361,0.081359,0.079732,0.079156,0.028319,0.028294,0.028786,0.029993,0.028277,0.028234,0,0,0,0,0,0,50
41090,10000,1,1,0.150278,0.148276,0.147341,0.148538,0.149308,0.148253,0.022174,0.022606,0.022384,0.022282,0.022392,0.02215,0,0,0,0,0,0,100
41090,10000,1,1,0.07738,0.078029,0.079201,0.077151,0.077952,0.078204,0.022279,0.022249,0.022182,0.022385,0.022385,0.022405,0,0,0,0,0,0,50
41090,10000,2,0,0.150102,0.150449,0.150147,0.149118,0.14893,0.151639,0.03122,0.030932,0.031027,0.030973,0.031199,0.031096,0,0,0,0,0,0,100
41090,10000,2,0,0.079309,0.078013,0.078925,0.077839,0.078889,0.077916,0.030992,0.031014,0.03097,0.030998,0.030985,0.031037,0,0,0,0,0,0,50
41090,10000,2,1,0.146747,0.14822,0.148193,0.151647,0.150928,0.148311,0.030096,0.030155,0.030141,0.030167,0.030106,0.030118,0,0,0,0,0,0,100
41090,10000,2,1,0.07927,0.078665,0.078504,0.0791,0.078785,0.078748,0.030051,0.03008,0.030239,0.03008,0.030081,0.030195,0,0,0,0,0,0,50
