size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_timesuncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage,
20271,10000,2,0,0.052155,0.052203,0.052207,0.052172,0.052181,0.052179,0.01531,0.015276,0.015315,0.015452,0.016201,0.015249,0,0,0,0,0,0,50
20271,10000,2,1,0.092254,0.092271,0.092286,0.09233,0.092393,0.092317,0.014878,0.014864,0.015048,0.014851,0.014861,0.014815,0,0,0,0,0,0,100
20271,10000,2,1,0.053065,0.05305,0.053052,0.053108,0.053074,0.053117,0.014868,0.014818,0.014831,0.014828,0.014933,0.014867,0,0,0,0,0,0,50
22804,10000,0,0,0.104409,0.104425,0.104449,0.104425,0.104402,0.104332,0.017726,0.017171,0.017161,0.017226,0.017258,0.017184,0,0,0,0,0,0,100
22804,10000,0,0,0.058141,0.058091,0.058085,0.058157,0.058176,0.058144,0.017483,0.01717,0.017196,0.017444,0.017172,0.017161,0,0,0,0,0,0,50
22804,10000,0,1,0.103974,0.103961,0.104029,0.104053,0.10397,0.104004,0.016734,0.016697,0.017062,0.016862,0.016727,0.016664,0,0,0,0,0,0,100
22804,10000,0,1,0.059019,0.05908,0.059025,0.059031,0.059043,0.059076,0.016852,0.016735,0.01689,0.016735,0.016805,0.016706,0,0,0,0,0,0,50
22804,10000,1,0,0.103981,0.103953,0.103902,0.10386,0.103988,0.103948,0.015762,0.015683,0.015933,0.01624,0.015629,0.015579,0,0,0,0,0,0,100
22804,10000,1,0,0.058269,0.058256,0.058256,0.0583,0.058235,0.058256,0.015601,0.015703,0.015601,0.015555,0.01562,0.015559,0,0,0,0,0,0,50
22804,10000,1,1,0.103886,0.10386,0.103988,0.103921,0.103798,0.10383,0.012482,0.01237,0.013451,0.012278,0.012331,0.012392,0,0,0,0,0,0,100
22804,10000,1,1,0.057543,0.05753,0.057537,0.05756,0.057561,0.05753,0.012293,0.012327,0.012299,0.012295,0.012826,0.012278,0,0,0,0,0,0,50
22804,10000,2,0,0.104348,0.104405,0.1044,0.104398,0.104362,0.104356,0.017185,0.01717,0.017254,0.01719,0.017148,0.017143,0,0,0,0,0,0,100
22804,10000,2,0,0.059292,0.059308,0.059287,0.059265,0.059303,0.059307,0.017284,0.017142,0.019743,0.017182,0.017198,0.017172,0,0,0,0,0,0,50
22804,10000,2,1,0.10487,0.104882,0.104816,0.104798,0.104759,0.10476,0.016695,0.016674,0.016656,0.016651,0.016696,0.016703,0,0,0,0,0,0,100
22804,10000,2,1,0.059215,0.059232,0.059197,0.059202,0.059239,0.059199,0.01666,0.016671,0.016649,0.016642,0.016678,0.016695,0,0,0,0,0,0,50
25654,10000,0,0,0.118439,0.118511,0.118494,0.118582,0.118632,0.11855,0.019265,0.019286,0.019293,0.019372,0.019337,0.019323,0,0,0,0,0,0,100
25654,10000,0,0,0.064958,0.065033,0.064987,0.065006,0.064965,0.064954,0.019447,0.019317,0.01933,0.019311,0.01931,0.01932,0,0,0,0,0,0,50
25654,10000,0,1,0.11689,0.116853,0.116854,0.116801,0.116949,0.116863,0.018763,0.01881,0.0188,0.018792,0.018848,0.018719,0,0,0,0,0,0,100
25654,10000,0,1,0.064393,0.064373,0.064422,0.064369,0.064391,0.064411,0.018855,0.018773,0.018792,0.018772,0.018809,0.01879,0,0,0,0,0,0,50
25654,10000,1,0,0.116779,0.116789,0.116796,0.116744,0.116798,0.116785,0.017598,0.017702,0.017528,0.017762,0.017578,0.017548,0,0,0,0,0,0,100
25654,10000,1,0,0.064676,0.064699,0.064681,0.064652,0.064692,0.064675,0.017542,0.018644,0.019621,0.01754,0.018276,0.017683,0,0,0,0,0,0,50
25654,10000,1,1,0.117446,0.117441,0.117555,0.117502,0.11754,0.117594,0.013782,0.014168,0.013891,0.013767,0.013915,0.013851,0,0,0,0,0,0,100
25654,10000,1,1,0.063858,0.06379,0.063785,0.0638,0.063938,0.063766,0.01391,0.013858,0.013947,0.013839,0.013787,0.013885,0,0,0,0,0,0,50
25654,10000,2,0,0.118781,0.118629,0.118631,0.118638,0.118664,0.118688,0.019325,0.019307,0.019296,0.019285,0.019313,0.019298,0,0,0,0,0,0,100
25654,10000,2,0,0.064607,0.064618,0.064612,0.064583,0.064566,0.064591,0.019315,0.019307,0.019309,0.020263,0.019468,0.019252,0,0,0,0,0,0,50
25654,10000,2,1,0.118293,0.118204,0.118236,0.118334,0.118215,0.118232,0.018765,0.01883,0.018773,0.018748,0.018735,0.01887,0,0,0,0,0,0,100
25654,10000,2,1,0.064879,0.064884,0.06488,0.064947,0.06489,0.064877,0.018747,0.018731,0.018717,0.018818,0.018728,0.018703,0,0,0,0,0,0,50
28860,10000,0,0,0.131182,0.131186,0.131207,0.131271,0.131351,0.13119,0.021675,0.021713,0.022498,0.021705,0.021725,0.023006,0,0,0,0,0,0,100
28860,10000,0,0,0.07237,0.072365,0.072347,0.072354,0.072439,0.072419,0.021662,0.021651,0.021754,0.021658,0.021713,0.022037,0,0,0,0,0,0,50
28860,10000,0,1,0.132104,0.132044,0.132111,0.131998,0.132068,0.132056,0.021193,0.021175,0.021075,0.021134,0.021105,0.02105,0,0,0,0,0,0,100
28860,10000,0,1,0.073002,0.073027,0.073017,0.073021,0.072992,0.072992,0.021307,0.021084,0.021144,0.021084,0.021215,0.021144,0,0,0,0,0,0,50
28860,10000,1,0,0.131949,0.131927,0.132028,0.131934,0.132002,0.132079,0.019964,0.019714,0.019801,0.019683,0.019694,0.019839,0,0,0,0,0,0,100
28860,10000,1,0,0.069885,0.069957,0.069921,0.069887,0.069934,0.069924,0.019921,0.019752,0.019733,0.019721,0.019713,0.019704,0,0,0,0,0,0,50
28860,10000,1,1,0.131737,0.131691,0.131755,0.131765,0.131802,0.131688,0.015531,0.015783,0.015483,0.01565,0.015518,0.01552,0,0,0,0,0,0,100
28860,10000,1,1,0.072089,0.072015,0.072084,0.072036,0.072034,0.07209,0.015616,0.015521,0.015655,0.015506,0.015528,0.015529,0,0,0,0,0,0,50
28860,10000,2,0,0.131878,0.1319,0.131747,0.131817,0.131927,0.13202,0.021683,0.021732,0.021656,0.02161,0.021713,0.021647,0,0,0,0,0,0,100
28860,10000,2,0,0.072667,0.072701,0.072716,0.072824,0.07271,0.07273,0.021693,0.021717,0.021671,0.021907,0.021932,0.021646,0,0,0,0,0,0,50
28860,10000,2,1,0.132584,0.132616,0.132503,0.132461,0.132402,0.132504,0.021055,0.021104,0.02113,0.021057,0.021074,0.021029,0,0,0,0,0,0,100
