row,size,numberQueries,dataDistribution,compressedTimes,uncompressedTimes,y
565,160000,10000,1,3.6738,3.65965,False
566,160000,10000,2,34.4668,34.3465,False
567,160000,10000,0,34.7569,34.4919,False
568,160000,10000,1,3.69965,3.6784,False
569,160000,10000,2,34.364,34.091,False
570,160000,10000,0,34.491,34.3433,False
571,160000,10000,1,3.68369,3.67886,False
572,160000,10000,2,34.1034,34.307,True
573,160000,10000,0,34.2921,34.1631,False
574,160000,10000,1,3.62228,3.67823,True
575,160000,10000,2,34.1151,34.2005,True
576,160000,10000,0,34.4881,34.5873,True
577,160000,10000,1,3.69974,3.72196,True
578,160000,10000,2,34.8715,34.7076,False
579,160000,10000,0,34.4865,34.3993,False
580,160000,10000,1,3.70405,3.71645,True
581,160000,10000,2,34.5256,34.6176,True
582,160000,10000,0,34.0299,34.2822,True
583,160000,10000,1,3.73237,3.68749,False
584,160000,10000,2,34.5336,34.2232,False
585,160000,10000,0,34.5981,34.6118,True
586,160000,10000,1,3.68163,3.70753,True
587,160000,10000,2,34.5663,34.6494,True
588,160000,10000,0,34.3244,34.8753,True
589,160000,10000,1,3.67564,3.74532,True
590,160000,10000,2,34.6615,34.8635,True
591,160000,10000,0,34.6931,35.346,True
592,160000,10000,1,3.79468,3.79349,False
593,160000,10000,2,34.5924,35.0015,True
594,160000,10000,0,35.0782,35.3135,True
595,160000,10000,1,3.82984,3.81051,False
596,160000,10000,2,35.0854,35.0059,False
597,160000,10000,0,35.0247,35.0474,True
598,160000,10000,1,3.7602,3.74675,False
599,160000,10000,2,35.0729,34.959,False
600,160000,10000,0,35.1181,34.8475,False
601,160000,10000,1,3.76275,3.70904,False
602,160000,10000,2,34.9976,34.8515,False
603,160000,10000,0,34.7029,34.674,False
604,160000,10000,1,3.75568,3.73921,False
605,160000,10000,2,34.339,34.2537,False
606,160000,10000,0,34.6101,34.7158,True
607,160000,10000,1,3.69473,3.75497,True
608,160000,10000,2,34.8355,34.6992,False
609,160000,10000,0,34.8264,34.4001,False
610,160000,10000,1,3.68239,3.66692,False
611,160000,10000,2,34.452,34.7203,True
612,160000,10000,0,34.3249,34.1959,False
613,160000,10000,1,3.7196,3.71418,False
614,160000,10000,2,34.5854,34.2887,False
615,160000,10000,0,34.6622,34.4233,False
616,160000,10000,1,3.75456,3.70972,False
617,160000,10000,2,35.1831,34.7461,False
618,160000,10000,0,34.6605,34.3324,False
619,160000,10000,1,3.75765,3.71864,False
620,160000,10000,2,34.4793,34.3369,False
621,160000,10000,0,34.5002,34.3318,False
622,160000,10000,1,3.76504,3.69586,False
